,cuisines,city,platform,net_profit
0,Italian,Mumbai,swiggy,109348
1,Mughlai,Mumbai,swiggy,197113
2,Mediterranean,Mumbai,swiggy,168510
3,Desserts,Mumbai,swiggy,109295
4,Mexican,Mumbai,swiggy,215098
5,Thai,Mumbai,swiggy,57846
6,Mexican,Mumbai,swiggy,91599
7,Chinese,Mumbai,swiggy,211684
8,Cafe,Mumbai,swiggy,132004
9,Multi-Cuisine,Mumbai,swiggy,120374
10,Pan-Asian,Mumbai,swiggy,323492
11,Seafood,Mumbai,swiggy,232694
12,Japanese,Mumbai,swiggy,26425
13,Mexican,Mumbai,swiggy,142562
14,Multi-Cuisine,Mumbai,swiggy,121870
15,Japanese,Mumbai,swiggy,243599
16,Continental,Mumbai,swiggy,162537
17,Lebanese,Mumbai,swiggy,168787
18,North Indian,Mumbai,swiggy,97496
19,Thai,Mumbai,swiggy,184926
20,Japanese,Mumbai,swiggy,128109
21,North Indian,Mumbai,swiggy,89570
22,Pan-Asian,Mumbai,swiggy,114271
23,Lebanese,Mumbai,swiggy,47072
24,Pan-Asian,Mumbai,swiggy,48151
25,Mexican,Mumbai,swiggy,181484
26,South Indian,Mumbai,swiggy,41986
27,Lebanese,Mumbai,swiggy,159042
28,Lebanese,Mumbai,swiggy,32509
29,Multi-Cuisine,Mumbai,swiggy,40118
30,Korean,Mumbai,swiggy,65786
31,Continental,Mumbai,swiggy,75616
32,Japanese,Mumbai,swiggy,54088
33,Bakery,Mumbai,swiggy,75541
34,Mughlai,Mumbai,swiggy,171580
35,Bakery,Mumbai,swiggy,174749
36,Korean,Mumbai,swiggy,42964
37,Seafood,Mumbai,swiggy,110027
38,Chinese,Mumbai,swiggy,97744
39,Street Food,Mumbai,swiggy,310648
40,Biryani,Mumbai,swiggy,82873
41,Pan-Asian,Mumbai,swiggy,126280
42,Lebanese,Mumbai,swiggy,77461
43,Continental,Mumbai,swiggy,97456
44,Italian,Mumbai,swiggy,181388
45,Mediterranean,Mumbai,swiggy,142223
46,Mediterranean,Mumbai,swiggy,43154
47,Bakery,Mumbai,swiggy,121094
48,Biryani,Mumbai,swiggy,26308
49,Seafood,Mumbai,swiggy,153376
50,Fast Food,Mumbai,swiggy,15605
51,Street Food,Mumbai,swiggy,187103
52,Mediterranean,Mumbai,swiggy,38605
53,Fast Food,Mumbai,swiggy,254363
54,South Indian,Mumbai,swiggy,208784
55,Korean,Mumbai,swiggy,198201
56,Street Food,Mumbai,swiggy,406537
57,Cafe,Mumbai,swiggy,33354
58,Cafe,Mumbai,swiggy,19584
59,Thai,Mumbai,swiggy,91836
60,Continental,Mumbai,swiggy,70776
61,Pan-Asian,Mumbai,swiggy,155672
62,Thai,Mumbai,swiggy,128249
63,Vietnamese,Mumbai,swiggy,40050
64,Chinese,Mumbai,swiggy,119922
65,South Indian,Mumbai,swiggy,35258
66,Seafood,Mumbai,swiggy,120492
67,South Indian,Mumbai,swiggy,141650
68,Street Food,Mumbai,swiggy,159732
69,Bakery,Mumbai,swiggy,20793
70,Mediterranean,Mumbai,swiggy,194876
71,Pan-Asian,Mumbai,swiggy,36186
72,Bakery,Mumbai,swiggy,63617
73,Cafe,Mumbai,swiggy,161525
74,Cafe,Mumbai,swiggy,62571
75,South Indian,Mumbai,swiggy,112758
76,Biryani,Mumbai,swiggy,117739
77,Mughlai,Mumbai,swiggy,219492
78,Mughlai,Mumbai,swiggy,65000
79,Mediterranean,Mumbai,swiggy,37325
80,Street Food,Mumbai,swiggy,186441
81,Bakery,Mumbai,swiggy,80551
82,Mughlai,Mumbai,swiggy,76218
83,Italian,Mumbai,swiggy,108106
84,Chinese,Mumbai,swiggy,118480
85,Vietnamese,Mumbai,swiggy,40979
86,Pan-Asian,Mumbai,swiggy,81912
87,Japanese,Mumbai,swiggy,34146
88,Street Food,Mumbai,swiggy,81211
89,Continental,Mumbai,swiggy,63729
90,Continental,Mumbai,swiggy,61404
91,Mediterranean,Mumbai,swiggy,272089
92,Thai,Mumbai,swiggy,91756
93,Japanese,Mumbai,swiggy,146894
94,South Indian,Mumbai,swiggy,132696
95,Fast Food,Mumbai,swiggy,280187
96,Pan-Asian,Mumbai,swiggy,279480
97,Street Food,Mumbai,swiggy,169492
98,Korean,Mumbai,swiggy,43379
99,Lebanese,Mumbai,swiggy,221929
100,Seafood,Mumbai,swiggy,183115
101,Cafe,Mumbai,swiggy,109293
102,Mexican,Mumbai,swiggy,168244
103,Continental,Mumbai,swiggy,184469
104,Cafe,Mumbai,swiggy,105113
105,Fast Food,Mumbai,swiggy,46786
106,Mexican,Mumbai,swiggy,274628
107,Multi-Cuisine,Mumbai,swiggy,47466
108,Multi-Cuisine,Mumbai,swiggy,60865
109,Chinese,Mumbai,swiggy,164220
110,Desserts,Mumbai,swiggy,174388
111,Continental,Mumbai,swiggy,84908
112,Chinese,Mumbai,swiggy,129516
113,Italian,Mumbai,swiggy,114162
114,Cafe,Mumbai,swiggy,82502
115,Street Food,Mumbai,swiggy,126698
116,Chinese,Mumbai,swiggy,203143
117,Korean,Mumbai,swiggy,148406
118,Seafood,Mumbai,swiggy,48308
119,Lebanese,Mumbai,swiggy,111304
120,Desserts,Mumbai,swiggy,232921
121,Biryani,Mumbai,swiggy,104480
122,Mediterranean,Mumbai,swiggy,182520
123,Korean,Mumbai,swiggy,136645
124,Continental,Mumbai,swiggy,191412
125,South Indian,Mumbai,swiggy,137685
126,Korean,Mumbai,swiggy,80449
127,Continental,Mumbai,swiggy,106841
128,Desserts,Mumbai,swiggy,231565
129,Vietnamese,Mumbai,swiggy,40146
130,Continental,Mumbai,swiggy,114784
131,Bakery,Mumbai,swiggy,46828
132,Biryani,Mumbai,swiggy,32022
